year_week,month,product_category,customer_state,weekly_sales_volume,total_price,sales_lag_1,sales_lag_2,sales_moving_avg_4
2018-04-16/2018-04-22,4,agro_industry_and_commerce,AL,1,1518.55,0.0,0.0,0.0
2017-05-08/2017-05-14,5,agro_industry_and_commerce,AP,1,657.61,0.0,0.0,0.0
2017-11-13/2017-11-19,11,agro_industry_and_commerce,BA,2,860.4,0.0,0.0,0.0
2018-04-02/2018-04-08,4,agro_industry_and_commerce,BA,1,499.64,2.0,0.0,2.0
2018-07-30/2018-08-05,8,agro_industry_and_commerce,BA,2,1134.44,1.0,2.0,1.5
2018-02-05/2018-02-11,2,agro_industry_and_commerce,CE,5,456.14,0.0,0.0,0.0
2018-06-25/2018-07-01,6,agro_industry_and_commerce,CE,1,168.05,5.0,0.0,5.0
2017-10-23/2017-10-29,10,agro_industry_and_commerce,ES,1,61.92999999999999,0.0,0.0,0.0
2017-11-27/2017-12-03,11,agro_industry_and_commerce,ES,1,425.24,1.0,0.0,1.0
2017-02-06/2017-02-12,2,agro_industry_and_commerce,GO,1,39.769999999999996,0.0,0.0,0.0
2018-02-26/2018-03-04,2,agro_industry_and_commerce,GO,1,499.69,1.0,0.0,1.0
2018-03-05/2018-03-11,3,agro_industry_and_commerce,GO,1,34.730000000000004,1.0,1.0,1.0
2018-06-25/2018-07-01,6,agro_industry_and_commerce,GO,1,585.32,1.0,1.0,1.0
2018-07-02/2018-07-08,7,agro_industry_and_commerce,GO,1,405.69,1.0,1.0,1.0
2017-01-30/2017-02-05,2,agro_industry_and_commerce,MG,1,36.51,0.0,0.0,0.0
2017-09-18/2017-09-24,9,agro_industry_and_commerce,MG,2,847.32,1.0,0.0,1.0
2017-11-20/2017-11-26,11,agro_industry_and_commerce,MG,6,6081.54,2.0,1.0,1.5
2017-12-25/2017-12-31,12,agro_industry_and_commerce,MG,1,442.26,6.0,2.0,3.0
2018-01-15/2018-01-21,1,agro_industry_and_commerce,MG,1,442.26,1.0,6.0,2.5
2018-01-29/2018-02-04,2,agro_industry_and_commerce,MG,1,34.6,1.0,1.0,2.5
2018-02-26/2018-03-04,2,agro_industry_and_commerce,MG,3,538.48,1.0,1.0,2.25
2018-04-23/2018-04-29,4,agro_industry_and_commerce,MG,1,433.46,3.0,1.0,1.5
2018-07-02/2018-07-08,7,agro_industry_and_commerce,MG,1,252.53,1.0,3.0,1.5
2018-07-16/2018-07-22,7,agro_industry_and_commerce,MG,2,1410.05,1.0,1.0,1.5
2018-07-30/2018-08-05,8,agro_industry_and_commerce,MG,2,2142.4700000000003,2.0,1.0,1.75
2017-02-06/2017-02-12,2,agro_industry_and_commerce,MS,1,113.87,0.0,0.0,0.0
2017-02-13/2017-02-19,2,agro_industry_and_commerce,MS,1,38.04,1.0,0.0,1.0
2018-01-29/2018-02-04,2,agro_industry_and_commerce,MS,1,442.26,1.0,1.0,1.0
2018-02-26/2018-03-04,2,agro_industry_and_commerce,MT,1,445.32,0.0,0.0,0.0
2018-06-18/2018-06-24,6,agro_industry_and_commerce,MT,1,191.13,1.0,0.0,1.0
